Rank,ID,Driver,Compound,Stint,TyreLife,Pit_Probability,Prediction
1,509465,MAG,HARD,2,41.0,0.5204989555086982,1
2,443530,OCO,HARD,2,41.0,0.5204148142977965,1
3,446194,LAW,HARD,2,43.0,0.5191161129990951,1
4,448852,ALB,HARD,2,55.0,0.5191161129990951,1
5,452115,SOL,HARD,2,42.0,0.5191161129990951,1
6,561612,OCO,HARD,2,50.0,0.5191161129990951,1
7,561912,MOR,HARD,2,41.0,0.5185966324796146,1
8,471812,D026,HARD,2,42.0,0.5182787924249325,1
9,509167,NIE,HARD,2,42.0,0.5178174117003939,1
10,619975,BOT,HARD,3,52.0,0.5172276030754696,1
11,487537,PER,HARD,2,42.0,0.5146969210799032,1
12,541413,OCO,HARD,2,57.0,0.5113239052068873,1
13,571721,NAK,HARD,2,45.0,0.5107524766354588,1
14,602994,HAD,HARD,2,49.0,0.5087265026094847,1
15,512796,MON,HARD,2,58.0,0.5074278013107835,1
16,546882,ZHO,MEDIUM,2,43.0,0.5057628768556209,1
17,557410,ANT,HARD,2,41.0,0.5054191433021255,1
18,539547,OCO,HARD,2,41.0,0.504974698857681,1
19,562720,GAS,HARD,2,48.0,0.504974698857681,1
20,495936,VER,HARD,2,44.0,0.5045473484303306,1
21,442901,D060,HARD,3,60.0,0.5040697083386274,1
22,478418,WUR,HARD,2,44.0,0.5035858099687921,1
23,569684,HAD,MEDIUM,2,41.0,0.5034662261379176,1
24,566046,GUT,HARD,2,32.0,0.5027524766354587,1
25,522047,D006,HARD,2,33.0,0.5024927363757186,1
26,481207,OCO,HARD,3,58.0,0.5024805080652166,1
27,539727,NOR,HARD,2,32.0,0.502474698857681,1
28,462097,ROB,HARD,2,33.0,0.5021890963537686,1
29,555615,GIO,HARD,2,32.0,0.5019630029512483,1
30,520997,KUB,HARD,2,31.0,0.5016413655243477,1
31,586042,MIN,HARD,2,33.0,0.5016413655243477,1
32,446670,VIS,HARD,2,35.0,0.5011940350770172,1
33,522136,SAT,HARD,2,35.0,0.5011940350770172,1
34,598410,DAM,HARD,3,33.0,0.5011749714965222,1
35,525573,JON,HARD,3,32.0,0.5011379070043057,1
36,443170,D032,HARD,2,35.0,0.5009103713723009,1
37,463138,D022,HARD,2,32.0,0.5009103713723009,1
38,475221,MAL,HARD,2,33.0,0.5009103713723009,1
39,461837,OCO,HARD,2,39.0,0.5007806456495433,1
40,554256,D037,HARD,2,37.0,0.5007806456495433,1
41,477226,D021,HARD,3,35.0,0.5006623262470349,1
42,463311,TSU,HARD,2,38.0,0.500647213477564,1
43,598458,SAI,HARD,2,39.0,0.500647213477564,1
44,468198,OCO,HARD,2,33.0,0.5004989555086983,1
45,480861,HOL,HARD,2,36.0,0.5004447843277665,1
46,606436,BRU,HARD,2,35.0,0.5004148142977964,1
47,547064,HEI,HARD,2,39.0,0.5000858099687921,1
48,442399,D031,HARD,2,34.0,0.4999319638149459,1
49,580742,GIO,HARD,2,31.0,0.4996969210799032,1
50,479116,TAK,HARD,2,33.0,0.49959458189861666,1
